track_name,track_location,year,race_date,class_name,position,number,driver_name,mx_bike,source
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,1,259,James Stewart,Kawasaki KX125,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,2,60,Broc Hepler,Suzuki RM-Z250,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,3,3,Michael Brown,Yamaha YZ250F,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,4,122,Matt Walker,Kawasaki KX250F,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,5,917,Eric Sorby,Kawasaki KX250F,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,6,25,Nathan Ramsey,Honda CRF250R,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,7,6,Steve Lamson,Honda CRF250R,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,8,29,Ivan Tedesco,Kawasaki KX250F,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,9,18,Brock Sellards,Yamaha YZ250F,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,10,44,Ryan Mills,Honda CRF250R,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,11,105,Ryan Hughes,KTM 125SX,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,12,80,Joshua Summey,Yamaha YZ250F,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,13,386,Joshua Grant,Honda CRF250R,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,14,106,Rodrig Thain,Suzuki RMZ250,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,15,264,Ryan Sipes,Kawasaki KX25F,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,16,33,Kelly Smith,Yamaha YZ250F,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,17,21,Stephane Roncada,Kawasaki KX250F,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,18,188,David Millsaps,Suzuki RM-Z250,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,19,263,Sean Collier,Honda CRF250R,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,20,61,Troy Adams,Kawasaki KX250F,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,21,123,Brett Metcalfe,KTM 125SX,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,22,56,Tim Weigand,Honda CRF250R,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,23,59,Danny Smith,Yamaha YZ250F,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,24,573,Gavin Gracyk,Kawasaki KX250F,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,25,41,Brian Gray,Suzuki RM-Z250,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,26,53,Robert Kiniry,Suzuki RM-Z250,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
HIGH POINT,"MORRIS, PA",2004,"MAY 30, 2004",125 Motocross,27,73,Evan Laughridge,Suzuki RMZ250,https://americanmotocrossresults.com/live/archives/mx/2004/02-mt_morris/125overall.pdf
